price,name,brand,seller_name,seller_rating,url,rating,screen_size,resolution,panel_type,android
1100999,lg uhd 4k tv,LG,Homewarehouse,60,https://www.jumia.com.ng/lg-uhd-4k-tv-82-inch-un80-series-cinema-screen-design-4k-active-hdr-webos-smart-ai-thinq-69624787.html,0.0,82,uhd,,no
1200999,lg uhd nanocell tv,LG,Homewarehouse,60,https://www.jumia.com.ng/lg-uhd-nanocell-tv-65-inch-cinema-screen-design-4k-hdr-webos-smart-satellite-ai-thinq-local-dimming-magic-remote-128373628.html,0.0,65,uhd,nanocell,no
2200000,"samsung premium  85"" crystal uhd4k hdr smart tv",Samsung,Worldmartin,100,https://www.jumia.com.ng/samsung-premium-85-crystal-uhd4k-hdr-smart-tv-bu8000-2022-195154528.html,0.0,85,uhd,,no
2000000,"samsung premium  75"" class 4k hdr uhd smart qled tv",Samsung,Worldmartin,100,https://www.jumia.com.ng/samsung-premium-75-class-4k-hdr-uhd-smart-qled-tv-q60a-92333630.html,0.0,75,uhd,qled,no
193990,vision tv,Vision,rock view cylinder,80,https://www.jumia.com.ng/vision-tv50-inch-led-full-high-smart-tvfree-wall-mount-vision-72118104.html,0.0,50,fhd,led,no
2200000,samsung premium  85inch  crystal uhd 4k hdr smart tv,Samsung,Worldmartin,100,https://www.jumia.com.ng/samsung-premium-85inch-crystal-uhd-4k-hdr-smart-tv-bu8000-2022-202156558.html,0.0,85,uhd,,no
1110999,lg uhd 4k tv,LG,Homewarehouse,60,https://www.jumia.com.ng/lg-uhd-4k-tv-82-inch-un8080pva-cinema-screen-design-4k-active-hdr-webos-smart-ai-thinq-79630813.html,0.0,82,uhd,,no
210990,"ufc ''55"" inch 4k ultra-hd smart led android tv",UFC,EbocasBabyClothings,80,https://www.jumia.com.ng/ufc-55-inch-4k-ultra-hd-smart-led-android-tv-black-86714295.html,0.0,55,uhd,led,yes
129399,amani tv,Amani,rock view cylinder,80,https://www.jumia.com.ng/amani-tv43-inch-led-full-high-amani-definition-smart-tv-free-wall-mount-65329254.html,0.0,43,fhd,led,no
1650000,lg oled tv,LG,Luchi's Store,94,https://www.jumia.com.ng/lg-oled-tv-65-inch-g1pva-gallery-design-4k-cinema-hdr-webos-smart-ai-thinq-pixel-dimming-111548465.html,0.0,65,uhd,oled,no
1650000,lg oled tv,LG,Luchi's Store,94,https://www.jumia.com.ng/lg-oled-tv-65-inch-a1-series-cinema-screen-design-4k-cinema-hdr-webos-smart-ai-thinq-pixel-dimming-111553073.html,0.0,65,uhd,oled,no
1200000,lg uhd 4k tv,LG,JennyLink Store,30,https://www.jumia.com.ng/lg-uhd-4k-tv-82-inch-un80-series-cinema-screen-design-4k-active-hdr-webos-smart-ai-thinq-117408568.html,0.0,82,uhd,,no
